scan,item,wording,values,b_net,p_net,N,q_net
YEAR 2,Q67E,Political leaders taking actions they know are possi,Not at all;Only a little;A f,0.11400981943351839,0.11500078766974466,674,0.5564120605518884
YEAR 2,Q67F,"People being harmed by federal agents, military, or ",Not at all;Only a little;A f,-0.04264166621141859,0.7718206323372795,674,0.8817939985400711
YEAR 2,Q68,"How concerned, if at all, are you that political lea",Not concerned at all;Not too,0.017568769950318308,0.8923006758370227,673,0.9535369967277987
YEAR 2,Q69,"How concerned, if at all, are you that people like y",Not concerned at all;Not too,0.27790315853844316,0.07390242975532774,675,0.44752026907392906
YEAR 2,Q70A,The U.S. government should declare America a Christi,Strongly disagree;Disagree;N,0.04852425649785773,0.3846323107060979,675,0.8174071439150129
YEAR 2,Q70B,Being Christian is an important part of being truly ,Strongly disagree;Disagree;N,0.07011083485120784,0.24923564480241395,674,0.7761910080989463
YEAR 2,Q71,"Thinking only about the city or town where you live,",Strongly Republican;Republic,-0.05311950048736824,0.544972020211783,675,0.8174071439150129
YEAR 2,ELEC,ELEC,,0.17003848836040492,0.07164772872564273,673,0.44752026907392906
YEAR 2,EDU,What is the highest level of school you have complet,Less than a high school dipl,-0.23053047137552157,0.0792245212920857,675,0.45449856951775475
YEAR 2,AGE,How old are you?, ,0.3166629795466561,0.05153997704374477,675,0.42339879493477806
YEAR 2,MALE,MALE,,0.048584808375544755,0.4742180441007912,675,0.8174071439150129
